epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,63.8193,2.16147,0.17647,0.70588,2.20384,0.00014994,0.00014994,0.00014994
2,128.304,1.46943,0.41176,0.88235,1.81343,0.000286757,0.000286757,0.000286757
3,188.289,0.88177,0.58824,0.88235,1.42116,0.000402839,0.000402839,0.000402839
4,247.712,0.49774,0.64706,0.88235,1.30226,0.000498186,0.000498186,0.000498186
5,310.653,0.31236,0.47059,0.88235,2.00694,0.000525504,0.000525504,0.000525504
6,371.926,0.23491,0.64706,0.88235,1.49038,0.00047838,0.00047838,0.00047838
7,435.001,0.19937,0.64706,0.82353,1.94258,0.000431256,0.000431256,0.000431256
8,499.506,0.18348,0.64706,0.88235,2.07972,0.000384132,0.000384132,0.000384132
9,559.459,0.12386,0.58824,0.88235,1.97735,0.000337008,0.000337008,0.000337008
10,619.65,0.17733,0.70588,0.88235,1.22335,0.000289884,0.000289884,0.000289884
11,679.695,0.09965,0.70588,0.94118,1.04639,0.00024276,0.00024276,0.00024276
12,748.386,0.10923,0.70588,0.88235,1.03927,0.000195636,0.000195636,0.000195636
13,812.035,0.11935,0.76471,0.94118,1.055,0.000148512,0.000148512,0.000148512
14,875.602,0.07133,0.76471,0.88235,1.05955,0.000101388,0.000101388,0.000101388
15,937.51,0.1039,0.76471,0.88235,1.07575,5.4264e-05,5.4264e-05,5.4264e-05
