epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,159.608,1.80726,0.73944,0.9507,0.97872,0.000233593,0.000233593,0.000233593
2,313.029,0.6105,0.92254,0.99296,0.34622,0.000440467,0.000440467,0.000440467
3,464.464,0.33421,0.90845,1,0.24398,0.000615926,0.000615926,0.000615926
4,610.323,0.2254,0.93662,1,0.17382,0.000572628,0.000572628,0.000572628
5,756.361,0.17852,0.92254,1,0.21708,0.000525504,0.000525504,0.000525504
6,901.796,0.15033,0.91549,1,0.2189,0.00047838,0.00047838,0.00047838
7,1048.15,0.12888,0.94366,1,0.11625,0.000431256,0.000431256,0.000431256
8,1193.34,0.15392,0.94366,1,0.18274,0.000384132,0.000384132,0.000384132
9,1340.38,0.09106,0.92958,1,0.24957,0.000337008,0.000337008,0.000337008
10,1492.57,0.0956,0.95775,1,0.1643,0.000289884,0.000289884,0.000289884
11,1645.71,0.08858,0.95775,1,0.08473,0.00024276,0.00024276,0.00024276
12,1801.08,0.06756,0.95775,1,0.10502,0.000195636,0.000195636,0.000195636
13,1959.04,0.06533,0.9507,1,0.09258,0.000148512,0.000148512,0.000148512
14,2110.18,0.04273,0.95775,1,0.07792,0.000101388,0.000101388,0.000101388
15,2265.48,0.07781,0.96479,1,0.10301,5.4264e-05,5.4264e-05,5.4264e-05
