epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.1418,2.32708,0,0.76471,2.25382,9.996e-05,9.996e-05,9.996e-05
2,94.9191,1.86365,0.41176,0.70588,2.07712,0.000186561,0.000186561,0.000186561
3,141.768,1.37206,0.35294,0.82353,1.82096,0.000251956,0.000251956,0.000251956
4,188.075,0.94612,0.52941,0.82353,1.45301,0.000296146,0.000296146,0.000296146
5,234.054,0.71062,0.47059,0.88235,1.29749,0.000319129,0.000319129,0.000319129
6,280.294,0.5074,0.58824,0.88235,1.24561,0.000320907,0.000320907,0.000320907
7,326.544,0.3696,0.70588,0.88235,1.24856,0.000289884,0.000289884,0.000289884
8,372.868,0.29484,0.70588,0.88235,1.28649,0.000219198,0.000219198,0.000219198
9,418.949,0.2622,0.70588,0.82353,1.27435,0.000148512,0.000148512,0.000148512
10,465.369,0.23238,0.76471,0.82353,1.20858,7.7826e-05,7.7826e-05,7.7826e-05
