epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,143.198,1.82539,0.5,0.95455,1.6004,0.000233423,0.000233423,0.000233423
2,285.089,0.53694,0.5,0.86364,1.27315,0.000440309,0.000440309,0.000440309
3,426.587,0.27692,0.77273,0.95455,0.66474,0.000615779,0.000615779,0.000615779
4,568.699,0.21927,0.90909,1,0.47372,0.000572628,0.000572628,0.000572628
5,710.243,0.12755,0.77273,1,0.57383,0.000525504,0.000525504,0.000525504
6,852.469,0.1371,0.72727,1,0.76043,0.00047838,0.00047838,0.00047838
7,996.141,0.08289,0.90909,0.95455,0.56547,0.000431256,0.000431256,0.000431256
8,1137.87,0.06405,0.72727,0.90909,0.88067,0.000384132,0.000384132,0.000384132
9,1279.68,0.06225,0.72727,0.95455,0.7166,0.000337008,0.000337008,0.000337008
10,1421.5,0.04885,0.77273,1,0.75729,0.000289884,0.000289884,0.000289884
11,1563.9,0.03251,0.77273,0.95455,0.57713,0.00024276,0.00024276,0.00024276
12,1705.48,0.03456,0.86364,0.95455,0.46528,0.000195636,0.000195636,0.000195636
13,1847.61,0.01864,0.86364,0.95455,0.37961,0.000148512,0.000148512,0.000148512
14,1990.06,0.0397,0.86364,0.95455,0.3252,0.000101388,0.000101388,0.000101388
15,2133.37,0.01701,0.81818,1,0.33941,5.4264e-05,5.4264e-05,5.4264e-05
