epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.6809,2.31631,0.05882,0.58824,2.27128,9.996e-05,9.996e-05,9.996e-05
2,95.0155,1.84541,0.47059,0.76471,2.06284,0.000193394,0.000193394,0.000193394
3,142.218,1.37274,0.41176,0.88235,1.73557,0.000272691,0.000272691,0.000272691
4,189.373,0.90006,0.58824,0.82353,1.41192,0.000337851,0.000337851,0.000337851
5,237.477,0.57513,0.47059,0.88235,1.39135,0.000388873,0.000388873,0.000388873
6,284.972,0.468,0.47059,0.82353,1.41488,0.000425758,0.000425758,0.000425758
7,332.18,0.30311,0.58824,0.82353,1.28252,0.000431256,0.000431256,0.000431256
8,379.274,0.23942,0.58824,0.82353,1.38649,0.000384132,0.000384132,0.000384132
9,426.196,0.19258,0.70588,0.82353,1.29808,0.000337008,0.000337008,0.000337008
10,473.591,0.15273,0.76471,0.82353,1.08959,0.000289884,0.000289884,0.000289884
11,520.319,0.18338,0.82353,0.88235,1.07183,0.00024276,0.00024276,0.00024276
12,567.363,0.13603,0.82353,0.88235,1.0531,0.000195636,0.000195636,0.000195636
13,614.467,0.11671,0.82353,0.88235,1.05203,0.000148512,0.000148512,0.000148512
14,661.901,0.09136,0.82353,0.88235,1.05427,0.000101388,0.000101388,0.000101388
15,709.062,0.08524,0.82353,0.88235,1.1035,5.4264e-05,5.4264e-05,5.4264e-05
