epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,162.74,1.80725,0.74176,0.95604,1.04164,0.000233593,0.000233593,0.000233593
2,314.915,0.61219,0.89011,0.99451,0.35073,0.000440467,0.000440467,0.000440467
3,467.39,0.33277,0.93407,1,0.23197,0.000615926,0.000615926,0.000615926
4,617.212,0.23004,0.92308,1,0.18377,0.000572628,0.000572628,0.000572628
5,764.298,0.17973,0.92857,1,0.21174,0.000525504,0.000525504,0.000525504
6,916.188,0.14369,0.91758,1,0.20243,0.00047838,0.00047838,0.00047838
7,1064.94,0.13671,0.94505,1,0.16749,0.000431256,0.000431256,0.000431256
8,1214.36,0.15905,0.94505,1,0.19408,0.000384132,0.000384132,0.000384132
9,1363.72,0.09845,0.95055,1,0.14821,0.000337008,0.000337008,0.000337008
10,1513.12,0.08921,0.95055,1,0.14935,0.000289884,0.000289884,0.000289884
11,1664.65,0.0851,0.96703,1,0.10386,0.00024276,0.00024276,0.00024276
12,1814.69,0.06566,0.96703,1,0.10862,0.000195636,0.000195636,0.000195636
13,1962.29,0.06382,0.95604,1,0.11318,0.000148512,0.000148512,0.000148512
14,2112.62,0.04995,0.96703,1,0.10101,0.000101388,0.000101388,0.000101388
15,2262.47,0.07035,0.96703,1,0.11136,5.4264e-05,5.4264e-05,5.4264e-05
