epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.5179,2.31631,0.06667,0.46667,2.36536,9.996e-05,9.996e-05,9.996e-05
2,91.7204,1.83815,0.4,0.73333,2.14152,0.00020296,0.00020296,0.00020296
3,133.032,1.34015,0.4,0.86667,1.75033,0.000301719,0.000301719,0.000301719
4,175.417,0.84543,0.53333,0.86667,1.39343,0.000396237,0.000396237,0.000396237
5,215.09,0.51472,0.46667,0.93333,1.43838,0.000486514,0.000486514,0.000486514
6,254.25,0.38036,0.66667,0.93333,1.36133,0.000572549,0.000572549,0.000572549
7,296.678,0.27391,0.66667,0.86667,1.09628,0.000629177,0.000629177,0.000629177
8,341.159,0.2067,0.6,0.86667,1.56173,0.00061504,0.00061504,0.00061504
9,384.195,0.18293,0.6,0.8,1.88632,0.000600902,0.000600902,0.000600902
10,428.035,0.12467,0.66667,0.8,1.17276,0.000586765,0.000586765,0.000586765
11,470.318,0.112,0.73333,0.86667,0.89448,0.000572628,0.000572628,0.000572628
12,509.586,0.1332,0.73333,0.86667,0.89158,0.000558491,0.000558491,0.000558491
13,548.347,0.11944,0.73333,0.8,1.14157,0.000544354,0.000544354,0.000544354
14,587.467,0.1113,0.8,0.86667,0.92281,0.000530216,0.000530216,0.000530216
15,627.043,0.05643,0.8,0.86667,0.75449,0.000516079,0.000516079,0.000516079
16,667.928,0.12293,0.86667,0.86667,0.63974,0.000501942,0.000501942,0.000501942
17,710.944,0.12082,0.73333,0.86667,0.7606,0.000487805,0.000487805,0.000487805
18,750.17,0.09574,0.6,0.86667,1.30563,0.000473668,0.000473668,0.000473668
19,790.58,0.055,0.6,0.93333,1.69272,0.00045953,0.00045953,0.00045953
20,830.261,0.12171,0.6,1,1.89145,0.000445393,0.000445393,0.000445393
21,869.731,0.05356,0.6,1,1.92963,0.000431256,0.000431256,0.000431256
22,908.929,0.0538,0.6,0.93333,1.91605,0.000417119,0.000417119,0.000417119
23,948.177,0.03741,0.6,0.93333,1.72336,0.000402982,0.000402982,0.000402982
24,988.023,0.06067,0.6,0.93333,1.82223,0.000388844,0.000388844,0.000388844
25,1027.2,0.0641,0.66667,0.93333,1.63974,0.000374707,0.000374707,0.000374707
26,1066.97,0.03339,0.6,1,1.59284,0.00036057,0.00036057,0.00036057
27,1106.28,0.05673,0.6,1,1.54973,0.000346433,0.000346433,0.000346433
28,1145.92,0.03353,0.6,1,1.68331,0.000332296,0.000332296,0.000332296
29,1185.21,0.02171,0.6,1,1.61403,0.000318158,0.000318158,0.000318158
30,1224.5,0.02627,0.6,1,1.70989,0.000304021,0.000304021,0.000304021
31,1263.86,0.03216,0.53333,1,1.45303,0.000289884,0.000289884,0.000289884
32,1303,0.0296,0.66667,0.93333,1.06198,0.000275747,0.000275747,0.000275747
33,1341.98,0.02173,0.6,1,0.92663,0.00026161,0.00026161,0.00026161
34,1381.25,0.02192,0.66667,1,0.89151,0.000247472,0.000247472,0.000247472
35,1420.06,0.02204,0.66667,0.93333,0.89376,0.000233335,0.000233335,0.000233335
36,1459.12,0.00585,0.73333,0.93333,0.8124,0.000219198,0.000219198,0.000219198
37,1497.78,0.01777,0.73333,0.93333,0.89441,0.000205061,0.000205061,0.000205061
38,1537.15,0.01281,0.73333,1,0.85388,0.000190924,0.000190924,0.000190924
39,1576,0.02642,0.66667,1,0.91188,0.000176786,0.000176786,0.000176786
40,1615.91,0.01975,0.66667,1,0.97423,0.000162649,0.000162649,0.000162649
41,1654.53,0.03234,0.66667,1,0.90231,0.000148512,0.000148512,0.000148512
42,1693.13,0.01461,0.66667,1,0.79418,0.000134375,0.000134375,0.000134375
43,1731.15,0.02078,0.66667,0.93333,0.75067,0.000120238,0.000120238,0.000120238
44,1770.39,0.01391,0.66667,0.93333,0.81591,0.0001061,0.0001061,0.0001061
45,1809.23,0.03845,0.66667,1,0.81247,9.19632e-05,9.19632e-05,9.19632e-05
46,1847.3,0.0304,0.66667,1,0.81414,7.7826e-05,7.7826e-05,7.7826e-05
47,1885.44,0.00368,0.66667,1,0.78345,6.36888e-05,6.36888e-05,6.36888e-05
48,1924.06,0.00761,0.66667,1,0.79872,4.95516e-05,4.95516e-05,4.95516e-05
49,1962.86,0.05017,0.66667,1,0.79316,3.54144e-05,3.54144e-05,3.54144e-05
50,2001.7,0.01873,0.66667,1,0.88131,2.12772e-05,2.12772e-05,2.12772e-05
