epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,178.204,1.70646,0.844,0.984,0.76768,0.000234222,0.000234222,0.000234222
2,362.906,0.48991,0.912,0.996,0.28278,0.000441056,0.000441056,0.000441056
3,538.297,0.24545,0.932,0.996,0.22915,0.000616473,0.000616473,0.000616473
4,714.484,0.20656,0.916,1,0.24314,0.000572628,0.000572628,0.000572628
5,896.129,0.1647,0.936,1,0.18668,0.000525504,0.000525504,0.000525504
6,1073.68,0.13142,0.96,1,0.10574,0.00047838,0.00047838,0.00047838
7,1251.12,0.10561,0.968,1,0.085,0.000431256,0.000431256,0.000431256
8,1425.82,0.0668,0.96,0.996,0.13303,0.000384132,0.000384132,0.000384132
9,1600.37,0.04608,0.968,0.996,0.11102,0.000337008,0.000337008,0.000337008
10,1777.78,0.05639,0.964,0.996,0.08626,0.000289884,0.000289884,0.000289884
11,1953.46,0.03289,0.96,0.996,0.11394,0.00024276,0.00024276,0.00024276
12,2127.9,0.03384,0.98,0.996,0.09477,0.000195636,0.000195636,0.000195636
13,2300.48,0.02741,0.968,0.996,0.10341,0.000148512,0.000148512,0.000148512
14,2470.88,0.02325,0.968,0.996,0.08317,0.000101388,0.000101388,0.000101388
15,2638.37,0.02327,0.968,0.996,0.09321,5.4264e-05,5.4264e-05,5.4264e-05
